Agg_Type,Date,Country,Brand,Product,Coverage,Industry_Coverage,SOV,COV_increase,SOV_increase
Quarter,2021-01-01,Brazil,G,SMP:mid-end,145,2319,0.062527,0.0,0.0
Quarter,2021-01-01,Brazil,H,SMP,273,6745,0.040474,0.0,0.0
Quarter,2021-01-01,Brazil,H,SMP:high-end,200,5071,0.039440,0.0,0.0
Quarter,2021-01-01,Brazil,H,SMP:low-end,73,1759,0.041501,0.0,0.0
Quarter,2021-01-01,Brazil,H,SMP:mid-end,98,2319,0.042260,0.0,0.0
Quarter,2021-01-01,Brazil,O,SMP,257,6745,0.038102,0.0,0.0
Quarter,2021-01-01,Brazil,O,SMP:high-end,190,5071,0.037468,0.0,0.0
Quarter,2021-01-01,Brazil,O,SMP:low-end,72,1759,0.040932,0.0,0.0
Quarter,2021-01-01,Brazil,O,SMP:mid-end,109,2319,0.047003,0.0,0.0
Quarter,2021-01-01,Brazil,S,SMP,2416,6745,0.358191,0.0,0.0
Quarter,2021-01-01,Brazil,S,SMP:high-end,1827,5071,0.360284,0.0,0.0
Quarter,2021-01-01,Brazil,S,SMP:low-end,629,1759,0.357590,0.0,0.0
Quarter,2021-01-01,Brazil,S,SMP:mid-end,812,2319,0.350151,0.0,0.0
Quarter,2021-01-01,Brazil,X,SMP,276,6745,0.040919,0.0,0.0
Quarter,2021-01-01,Brazil,X,SMP:high-end,202,5071,0.039834,0.0,0.0
Quarter,2021-01-01,Brazil,X,SMP:low-end,77,1759,0.043775,0.0,0.0
Quarter,2021-01-01,Brazil,X,SMP:mid-end,104,2319,0.044847,0.0,0.0
Quarter,2021-01-01,Canada,A,SMP,3030,6686,0.453186,0.0,0.0
Quarter,2021-01-01,Canada,A,SMP:high-end,2291,5038,0.454744,0.0,0.0
Quarter,2021-01-01,Canada,A,SMP:low-end,712,1614,0.441140,0.0,0.0
Quarter,2021-01-01,Canada,A,SMP:mid-end,1070,2392,0.447324,0.0,0.0
Quarter,2021-01-01,Canada,G,SMP,417,6686,0.062369,0.0,0.0
Quarter,2021-01-01,Canada,G,SMP:high-end,308,5038,0.061135,0.0,0.0
Quarter,2021-01-01,Canada,G,SMP:low-end,115,1614,0.071252,0.0,0.0
Quarter,2021-01-01,Canada,G,SMP:mid-end,150,2392,0.062709,0.0,0.0
Quarter,2021-01-01,Canada,H,SMP,269,6686,0.040233,0.0,0.0
Quarter,2021-01-01,Canada,H,SMP:high-end,196,5038,0.038904,0.0,0.0
Quarter,2021-01-01,Canada,H,SMP:low-end,65,1614,0.040273,0.0,0.0
Quarter,2021-01-01,Canada,H,SMP:mid-end,92,2392,0.038462,0.0,0.0
Quarter,2021-01-01,Canada,O,SMP,248,6686,0.037092,0.0,0.0
Quarter,2021-01-01,Canada,O,SMP:high-end,181,5038,0.035927,0.0,0.0
Quarter,2021-01-01,Canada,O,SMP:low-end,60,1614,0.037175,0.0,0.0
Quarter,2021-01-01,Canada,O,SMP:mid-end,91,2392,0.038043,0.0,0.0
Quarter,2021-01-01,Canada,S,SMP,2424,6686,0.362549,0.0,0.0
Quarter,2021-01-01,Canada,S,SMP:high-end,1839,5038,0.365026,0.0,0.0
Quarter,2021-01-01,Canada,S,SMP:low-end,585,1614,0.362454,0.0,0.0
Quarter,2021-01-01,Canada,S,SMP:mid-end,876,2392,0.366221,0.0,0.0
Quarter,2021-01-01,Canada,X,SMP,298,6686,0.044571,0.0,0.0
Quarter,2021-01-01,Canada,X,SMP:high-end,223,5038,0.044264,0.0,0.0
Quarter,2021-01-01,Canada,X,SMP:low-end,77,1614,0.047708,0.0,0.0
Quarter,2021-01-01,Canada,X,SMP:mid-end,113,2392,0.047241,0.0,0.0
Quarter,2021-01-01,China,A,SMP,4785,13384,0.357516,0.0,0.0
Quarter,2021-01-01,China,A,SMP:high-end,3620,10086,0.358913,0.0,0.0
Quarter,2021-01-01,China,A,SMP:low-end,1145,3219,0.355701,0.0,0.0
Quarter,2021-01-01,China,A,SMP:mid-end,1695,4789,0.353936,0.0,0.0
Quarter,2021-01-01,China,G,SMP,142,13384,0.010610,0.0,0.0
Quarter,2021-01-01,China,G,SMP:high-end,117,10086,0.011600,0.0,0.0
Quarter,2021-01-01,China,G,SMP:low-end,38,3219,0.011805,0.0,0.0
Quarter,2021-01-01,China,G,SMP:mid-end,46,4789,0.009605,0.0,0.0
Quarter,2021-01-01,China,H,SMP,1746,13384,0.130454,0.0,0.0
Quarter,2021-01-01,China,H,SMP:high-end,1284,10086,0.127305,0.0,0.0
Quarter,2021-01-01,China,H,SMP:low-end,400,3219,0.124262,0.0,0.0
Quarter,2021-01-01,China,H,SMP:mid-end,654,4789,0.136563,0.0,0.0
Quarter,2021-01-01,China,O,SMP,1507,13384,0.112597,0.0,0.0
Quarter,2021-01-01,China,O,SMP:high-end,1136,10086,0.112631,0.0,0.0
Quarter,2021-01-01,China,O,SMP:low-end,344,3219,0.106865,0.0,0.0
Quarter,2021-01-01,China,O,SMP:mid-end,536,4789,0.111923,0.0,0.0
Quarter,2021-01-01,China,S,SMP,3508,13384,0.262104,0.0,0.0
Quarter,2021-01-01,China,S,SMP:high-end,2636,10086,0.261352,0.0,0.0
Quarter,2021-01-01,China,S,SMP:low-end,866,3219,0.269028,0.0,0.0
Quarter,2021-01-01,China,S,SMP:mid-end,1261,4789,0.263312,0.0,0.0
Quarter,2021-01-01,China,X,SMP,1696,13384,0.126718,0.0,0.0
Quarter,2021-01-01,China,X,SMP:high-end,1293,10086,0.128198,0.0,0.0
Quarter,2021-01-01,China,X,SMP:low-end,426,3219,0.132339,0.0,0.0
Quarter,2021-01-01,China,X,SMP:mid-end,597,4789,0.124661,0.0,0.0
Quarter,2021-01-01,France,A,SMP,4768,10440,0.456705,0.0,0.0
Quarter,2021-01-01,France,A,SMP:high-end,3597,7830,0.459387,0.0,0.0
Quarter,2021-01-01,France,A,SMP:low-end,1202,2653,0.453072,0.0,0.0
Quarter,2021-01-01,France,A,SMP:mid-end,1692,3707,0.456434,0.0,0.0
Quarter,2021-01-01,France,G,SMP,600,10440,0.057471,0.0,0.0
Quarter,2021-01-01,France,G,SMP:high-end,452,7830,0.057727,0.0,0.0
Quarter,2021-01-01,France,G,SMP:low-end,165,2653,0.062194,0.0,0.0
Quarter,2021-01-01,France,G,SMP:mid-end,216,3707,0.058268,0.0,0.0
Quarter,2021-01-01,France,H,SMP,443,10440,0.042433,0.0,0.0
Quarter,2021-01-01,France,H,SMP:high-end,316,7830,0.040358,0.0,0.0
Quarter,2021-01-01,France,H,SMP:low-end,113,2653,0.042593,0.0,0.0
Quarter,2021-01-01,France,H,SMP:mid-end,150,3707,0.040464,0.0,0.0
Quarter,2021-01-01,France,O,SMP,395,10440,0.037835,0.0,0.0
Quarter,2021-01-01,France,O,SMP:high-end,297,7830,0.037931,0.0,0.0
Quarter,2021-01-01,France,O,SMP:low-end,91,2653,0.034301,0.0,0.0
Quarter,2021-01-01,France,O,SMP:mid-end,141,3707,0.038036,0.0,0.0
Quarter,2021-01-01,France,S,SMP,3745,10440,0.358716,0.0,0.0
Quarter,2021-01-01,France,S,SMP:high-end,2795,7830,0.356960,0.0,0.0
Quarter,2021-01-01,France,S,SMP:low-end,961,2653,0.362231,0.0,0.0
Quarter,2021-01-01,France,S,SMP:mid-end,1330,3707,0.358781,0.0,0.0
Quarter,2021-01-01,France,X,SMP,489,10440,0.046839,0.0,0.0
Quarter,2021-01-01,France,X,SMP:high-end,373,7830,0.047637,0.0,0.0
Quarter,2021-01-01,France,X,SMP:low-end,121,2653,0.045609,0.0,0.0
Quarter,2021-01-01,France,X,SMP:mid-end,178,3707,0.048017,0.0,0.0
Quarter,2021-01-01,Germany,A,SMP,4785,10397,0.460229,0.0,0.0
Quarter,2021-01-01,Germany,A,SMP:high-end,3622,7841,0.461931,0.0,0.0
Quarter,2021-01-01,Germany,A,SMP:low-end,1167,2544,0.458726,0.0,0.0
Quarter,2021-01-01,Germany,A,SMP:mid-end,1700,3684,0.461455,0.0,0.0
Quarter,2021-01-01,Germany,G,SMP,689,10397,0.066269,0.0,0.0
Quarter,2021-01-01,Germany,G,SMP:high-end,516,7841,0.065808,0.0,0.0
Quarter,2021-01-01,Germany,G,SMP:low-end,159,2544,0.062500,0.0,0.0
Quarter,2021-01-01,Germany,G,SMP:mid-end,244,3684,0.066232,0.0,0.0
Quarter,2021-01-01,Germany,H,SMP,450,10397,0.043282,0.0,0.0
Quarter,2021-01-01,Germany,H,SMP:high-end,347,7841,0.044255,0.0,0.0
Quarter,2021-01-01,Germany,H,SMP:low-end,118,2544,0.046384,0.0,0.0
Quarter,2021-01-01,Germany,H,SMP:mid-end,151,3684,0.040988,0.0,0.0
Quarter,2021-01-01,Germany,O,SMP,393,10397,0.037799,0.0,0.0
Quarter,2021-01-01,Germany,O,SMP:high-end,309,7841,0.039408,0.0,0.0
Quarter,2021-01-01,Germany,O,SMP:low-end,89,2544,0.034984,0.0,0.0
Quarter,2021-01-01,Germany,O,SMP:mid-end,141,3684,0.038274,0.0,0.0
Quarter,2021-01-01,Germany,S,SMP,3572,10397,0.343561,0.0,0.0
Quarter,2021-01-01,Germany,S,SMP:high-end,2665,7841,0.339880,0.0,0.0
Quarter,2021-01-01,Germany,S,SMP:low-end,886,2544,0.348270,0.0,0.0
Quarter,2021-01-01,Germany,S,SMP:mid-end,1269,3684,0.344463,0.0,0.0
Quarter,2021-01-01,Germany,X,SMP,508,10397,0.048860,0.0,0.0
Quarter,2021-01-01,Germany,X,SMP:high-end,382,7841,0.048718,0.0,0.0
Quarter,2021-01-01,Germany,X,SMP:low-end,125,2544,0.049135,0.0,0.0
Quarter,2021-01-01,Germany,X,SMP:mid-end,179,3684,0.048588,0.0,0.0
Quarter,2021-01-01,India,A,SMP,3186,7129,0.446907,0.0,0.0
Quarter,2021-01-01,India,A,SMP:high-end,2390,5363,0.445646,0.0,0.0
Quarter,2021-01-01,India,A,SMP:low-end,791,1758,0.449943,0.0,0.0
Quarter,2021-01-01,India,A,SMP:mid-end,1126,2521,0.446648,0.0,0.0
Quarter,2021-01-01,India,G,SMP,459,7129,0.064385,0.0,0.0
Quarter,2021-01-01,India,G,SMP:high-end,350,5363,0.065262,0.0,0.0
Quarter,2021-01-01,India,G,SMP:low-end,109,1758,0.062002,0.0,0.0
Quarter,2021-01-01,India,G,SMP:mid-end,171,2521,0.067830,0.0,0.0
Quarter,2021-01-01,India,H,SMP,327,7129,0.045869,0.0,0.0
Quarter,2021-01-01,India,H,SMP:high-end,242,5363,0.045124,0.0,0.0
Quarter,2021-01-01,India,H,SMP:low-end,94,1758,0.053470,0.0,0.0
Quarter,2021-01-01,India,H,SMP:mid-end,112,2521,0.044427,0.0,0.0
Quarter,2021-01-01,India,O,SMP,281,7129,0.039416,0.0,0.0
Quarter,2021-01-01,India,O,SMP:high-end,206,5363,0.038411,0.0,0.0
Quarter,2021-01-01,India,O,SMP:low-end,58,1758,0.032992,0.0,0.0
Quarter,2021-01-01,India,O,SMP:mid-end,97,2521,0.038477,0.0,0.0
Quarter,2021-01-01,India,S,SMP,2530,7129,0.354888,0.0,0.0
Quarter,2021-01-01,India,S,SMP:high-end,1927,5363,0.359314,0.0,0.0
Quarter,2021-01-01,India,S,SMP:low-end,616,1758,0.350398,0.0,0.0
Quarter,2021-01-01,India,S,SMP:mid-end,878,2521,0.348274,0.0,0.0
Quarter,2021-01-01,India,X,SMP,346,7129,0.048534,0.0,0.0
Quarter,2021-01-01,India,X,SMP:high-end,248,5363,0.046243,0.0,0.0
Quarter,2021-01-01,India,X,SMP:low-end,90,1758,0.051195,0.0,0.0
Quarter,2021-01-01,India,X,SMP:mid-end,137,2521,0.054344,0.0,0.0
Quarter,2021-01-01,Indonesia,A,SMP,845,1965,0.430025,0.0,0.0
Quarter,2021-01-01,Indonesia,A,SMP:high-end,629,1467,0.428766,0.0,0.0
Quarter,2021-01-01,Indonesia,A,SMP:low-end,202,481,0.419958,0.0,0.0
Quarter,2021-01-01,Indonesia,A,SMP:mid-end,311,689,0.451379,0.0,0.0
Quarter,2021-01-01,Indonesia,G,SMP,130,1965,0.066158,0.0,0.0
Quarter,2021-01-01,Indonesia,G,SMP:high-end,96,1467,0.065440,0.0,0.0
Quarter,2021-01-01,Indonesia,G,SMP:low-end,35,481,0.072765,0.0,0.0
Quarter,2021-01-01,Indonesia,G,SMP:mid-end,42,689,0.060958,0.0,0.0
Quarter,2021-01-01,Indonesia,H,SMP,72,1965,0.036641,0.0,0.0
Quarter,2021-01-01,Indonesia,H,SMP:high-end,52,1467,0.035446,0.0,0.0
Quarter,2021-01-01,Indonesia,H,SMP:low-end,15,481,0.031185,0.0,0.0
Quarter,2021-01-01,Indonesia,H,SMP:mid-end,28,689,0.040639,0.0,0.0
Quarter,2021-01-01,Indonesia,O,SMP,75,1965,0.038168,0.0,0.0
Quarter,2021-01-01,Indonesia,O,SMP:high-end,54,1467,0.036810,0.0,0.0
Quarter,2021-01-01,Indonesia,O,SMP:low-end,22,481,0.045738,0.0,0.0
Quarter,2021-01-01,Indonesia,O,SMP:mid-end,25,689,0.036284,0.0,0.0
Quarter,2021-01-01,Indonesia,S,SMP,740,1965,0.376590,0.0,0.0
Quarter,2021-01-01,Indonesia,S,SMP:high-end,554,1467,0.377641,0.0,0.0
Quarter,2021-01-01,Indonesia,S,SMP:low-end,182,481,0.378378,0.0,0.0
Quarter,2021-01-01,Indonesia,S,SMP:mid-end,256,689,0.371553,0.0,0.0
Quarter,2021-01-01,Indonesia,X,SMP,103,1965,0.052417,0.0,0.0
Quarter,2021-01-01,Indonesia,X,SMP:high-end,82,1467,0.055896,0.0,0.0
Quarter,2021-01-01,Indonesia,X,SMP:low-end,25,481,0.051975,0.0,0.0
Quarter,2021-01-01,Indonesia,X,SMP:mid-end,27,689,0.039187,0.0,0.0
Quarter,2021-01-01,Italy,A,SMP,2975,6428,0.462819,0.0,0.0
Quarter,2021-01-01,Italy,A,SMP:high-end,2255,4880,0.462090,0.0,0.0
Quarter,2021-01-01,Italy,A,SMP:low-end,710,1576,0.450508,0.0,0.0
Quarter,2021-01-01,Italy,A,SMP:mid-end,1102,2322,0.474591,0.0,0.0
Quarter,2021-01-01,Italy,G,SMP,380,6428,0.059116,0.0,0.0
Quarter,2021-01-01,Italy,G,SMP:high-end,293,4880,0.060041,0.0,0.0
Quarter,2021-01-01,Italy,G,SMP:low-end,95,1576,0.060279,0.0,0.0
Quarter,2021-01-01,Italy,G,SMP:mid-end,124,2322,0.053402,0.0,0.0
Quarter,2021-01-01,Italy,H,SMP,260,6428,0.040448,0.0,0.0
Quarter,2021-01-01,Italy,H,SMP:high-end,199,4880,0.040779,0.0,0.0
Quarter,2021-01-01,Italy,H,SMP:low-end,62,1576,0.039340,0.0,0.0
Quarter,2021-01-01,Italy,H,SMP:mid-end,88,2322,0.037898,0.0,0.0
Quarter,2021-01-01,Italy,O,SMP,231,6428,0.035937,0.0,0.0
Quarter,2021-01-01,Italy,O,SMP:high-end,167,4880,0.034221,0.0,0.0
Quarter,2021-01-01,Italy,O,SMP:low-end,64,1576,0.040609,0.0,0.0
Quarter,2021-01-01,Italy,O,SMP:mid-end,74,2322,0.031869,0.0,0.0
Quarter,2021-01-01,Italy,S,SMP,2292,6428,0.356565,0.0,0.0
Quarter,2021-01-01,Italy,S,SMP:high-end,1731,4880,0.354713,0.0,0.0
Quarter,2021-01-01,Italy,S,SMP:low-end,582,1576,0.369289,0.0,0.0
Quarter,2021-01-01,Italy,S,SMP:mid-end,833,2322,0.358742,0.0,0.0
Quarter,2021-01-01,Italy,X,SMP,290,6428,0.045115,0.0,0.0
Quarter,2021-01-01,Italy,X,SMP:high-end,235,4880,0.048156,0.0,0.0
Quarter,2021-01-01,Italy,X,SMP:low-end,63,1576,0.039975,0.0,0.0
Quarter,2021-01-01,Italy,X,SMP:mid-end,101,2322,0.043497,0.0,0.0
Quarter,2021-01-01,Japan,A,SMP,4537,10071,0.450501,0.0,0.0
Quarter,2021-01-01,Japan,A,SMP:high-end,3459,7625,0.453639,0.0,0.0
Quarter,2021-01-01,Japan,A,SMP:low-end,1048,2409,0.435035,0.0,0.0
Quarter,2021-01-01,Japan,A,SMP:mid-end,1570,3557,0.441383,0.0,0.0
Quarter,2021-01-01,Japan,G,SMP,596,10071,0.059180,0.0,0.0
Quarter,2021-01-01,Japan,G,SMP:high-end,455,7625,0.059672,0.0,0.0
Quarter,2021-01-01,Japan,G,SMP:low-end,137,2409,0.056870,0.0,0.0
Quarter,2021-01-01,Japan,G,SMP:mid-end,220,3557,0.061850,0.0,0.0
Quarter,2021-01-01,Japan,H,SMP,420,10071,0.041704,0.0,0.0
Quarter,2021-01-01,Japan,H,SMP:high-end,313,7625,0.041049,0.0,0.0
Quarter,2021-01-01,Japan,H,SMP:low-end,108,2409,0.044832,0.0,0.0
Quarter,2021-01-01,Japan,H,SMP:mid-end,152,3557,0.042733,0.0,0.0
Quarter,2021-01-01,Japan,O,SMP,373,10071,0.037037,0.0,0.0
Quarter,2021-01-01,Japan,O,SMP:high-end,279,7625,0.036590,0.0,0.0
Quarter,2021-01-01,Japan,O,SMP:low-end,81,2409,0.033624,0.0,0.0
Quarter,2021-01-01,Japan,O,SMP:mid-end,132,3557,0.037110,0.0,0.0
Quarter,2021-01-01,Japan,S,SMP,3676,10071,0.365008,0.0,0.0
Quarter,2021-01-01,Japan,S,SMP:high-end,2768,7625,0.363016,0.0,0.0
Quarter,2021-01-01,Japan,S,SMP:low-end,908,2409,0.376920,0.0,0.0
Quarter,2021-01-01,Japan,S,SMP:mid-end,1318,3557,0.370537,0.0,0.0
Quarter,2021-01-01,Japan,X,SMP,469,10071,0.046569,0.0,0.0
Quarter,2021-01-01,Japan,X,SMP:high-end,351,7625,0.046033,0.0,0.0
Quarter,2021-01-01,Japan,X,SMP:low-end,127,2409,0.052719,0.0,0.0
Quarter,2021-01-01,Japan,X,SMP:mid-end,165,3557,0.046387,0.0,0.0
Quarter,2021-01-01,"Korea, Rep.",A,SMP,4302,9504,0.452652,0.0,0.0
Quarter,2021-01-01,"Korea, Rep.",A,SMP:high-end,3249,7206,0.450874,0.0,0.0
Quarter,2021-01-01,"Korea, Rep.",A,SMP:low-end,1075,2342,0.459009,0.0,0.0
Quarter,2021-01-01,"Korea, Rep.",A,SMP:mid-end,1534,3411,0.449721,0.0,0.0
Quarter,2021-01-01,"Korea, Rep.",G,SMP,308,9504,0.032407,0.0,0.0
Quarter,2021-01-01,"Korea, Rep.",G,SMP:high-end,238,7206,0.033028,0.0,0.0
Quarter,2021-01-01,"Korea, Rep.",G,SMP:low-end,75,2342,0.032024,0.0,0.0
Quarter,2021-01-01,"Korea, Rep.",G,SMP:mid-end,117,3411,0.034301,0.0,0.0
Quarter,2021-01-01,"Korea, Rep.",H,SMP,184,9504,0.019360,0.0,0.0
Quarter,2021-01-01,"Korea, Rep.",H,SMP:high-end,132,7206,0.018318,0.0,0.0
Quarter,2021-01-01,"Korea, Rep.",H,SMP:low-end,45,2342,0.019214,0.0,0.0
Quarter,2021-01-01,"Korea, Rep.",H,SMP:mid-end,68,3411,0.019936,0.0,0.0
Quarter,2021-01-01,"Korea, Rep.",O,SMP,116,9504,0.012205,0.0,0.0
Quarter,2021-01-01,"Korea, Rep.",O,SMP:high-end,90,7206,0.012490,0.0,0.0
Quarter,2021-01-01,"Korea, Rep.",O,SMP:low-end,20,2342,0.008540,0.0,0.0
Quarter,2021-01-01,"Korea, Rep.",O,SMP:mid-end,37,3411,0.010847,0.0,0.0
Quarter,2021-01-01,"Korea, Rep.",S,SMP,4429,9504,0.466014,0.0,0.0
Quarter,2021-01-01,"Korea, Rep.",S,SMP:high-end,3367,7206,0.467250,0.0,0.0
Quarter,2021-01-01,"Korea, Rep.",S,SMP:low-end,1082,2342,0.461998,0.0,0.0
Quarter,2021-01-01,"Korea, Rep.",S,SMP:mid-end,1595,3411,0.467605,0.0,0.0
Quarter,2021-01-01,"Korea, Rep.",X,SMP,165,9504,0.017361,0.0,0.0
Quarter,2021-01-01,"Korea, Rep.",X,SMP:high-end,130,7206,0.018041,0.0,0.0
Quarter,2021-01-01,"Korea, Rep.",X,SMP:low-end,45,2342,0.019214,0.0,0.0
Quarter,2021-01-01,"Korea, Rep.",X,SMP:mid-end,60,3411,0.017590,0.0,0.0
Quarter,2021-01-01,Mexico,A,SMP,868,1971,0.440386,0.0,0.0
Quarter,2021-01-01,Mexico,A,SMP:high-end,656,1470,0.446259,0.0,0.0
Quarter,2021-01-01,Mexico,A,SMP:low-end,216,509,0.424361,0.0,0.0
Quarter,2021-01-01,Mexico,A,SMP:mid-end,313,692,0.452312,0.0,0.0
Quarter,2021-01-01,Mexico,G,SMP,127,1971,0.064434,0.0,0.0
Quarter,2021-01-01,Mexico,G,SMP:high-end,96,1470,0.065306,0.0,0.0
Quarter,2021-01-01,Mexico,G,SMP:low-end,31,509,0.060904,0.0,0.0
Quarter,2021-01-01,Mexico,G,SMP:mid-end,48,692,0.069364,0.0,0.0
Quarter,2021-01-01,Mexico,H,SMP,103,1971,0.052258,0.0,0.0
Quarter,2021-01-01,Mexico,H,SMP:high-end,76,1470,0.051701,0.0,0.0
Quarter,2021-01-01,Mexico,H,SMP:low-end,30,509,0.058939,0.0,0.0
Quarter,2021-01-01,Mexico,H,SMP:mid-end,25,692,0.036127,0.0,0.0
Quarter,2021-01-01,Mexico,O,SMP,71,1971,0.036022,0.0,0.0
Quarter,2021-01-01,Mexico,O,SMP:high-end,46,1470,0.031293,0.0,0.0
Quarter,2021-01-01,Mexico,O,SMP:low-end,21,509,0.041257,0.0,0.0
Quarter,2021-01-01,Mexico,O,SMP:mid-end,26,692,0.037572,0.0,0.0
Quarter,2021-01-01,Mexico,S,SMP,714,1971,0.362253,0.0,0.0
Quarter,2021-01-01,Mexico,S,SMP:high-end,529,1470,0.359864,0.0,0.0
Quarter,2021-01-01,Mexico,S,SMP:low-end,189,509,0.371316,0.0,0.0
Quarter,2021-01-01,Mexico,S,SMP:mid-end,251,692,0.362717,0.0,0.0
Quarter,2021-01-01,Mexico,X,SMP,88,1971,0.044647,0.0,0.0
Quarter,2021-01-01,Mexico,X,SMP:high-end,67,1470,0.045578,0.0,0.0
Quarter,2021-01-01,Mexico,X,SMP:low-end,22,509,0.043222,0.0,0.0
Quarter,2021-01-01,Mexico,X,SMP:mid-end,29,692,0.041908,0.0,0.0
Quarter,2021-01-01,Spain,A,SMP,2798,6280,0.445541,0.0,0.0
Quarter,2021-01-01,Spain,A,SMP:high-end,2110,4711,0.447888,0.0,0.0
Quarter,2021-01-01,Spain,A,SMP:low-end,722,1688,0.427725,0.0,0.0
Quarter,2021-01-01,Spain,A,SMP:mid-end,1002,2224,0.450540,0.0,0.0
Quarter,2021-01-01,Spain,G,SMP,402,6280,0.064013,0.0,0.0
Quarter,2021-01-01,Spain,G,SMP:high-end,301,4711,0.063893,0.0,0.0
